Codigo,Tipo,Dinero,Nivel,Puntaje
50642,Barbarian,47,12,165485
57624,Barbarian,68,12,330162
35828,Barbarian,51,12,613224
86743,Barbarian,57,11,677274
36424,Barbarian,85,11,239708
27452,Barbarian,41,11,812284
94107,Barbarian,82,11,886620
91634,Barbarian,32,11,575563
36728,Barbarian,20,10,265242
94252,Barbarian,83,10,719681
78472,Barbarian,74,10,724876
73709,Barbarian,78,10,432676
22271,Barbarian,65,10,422098
81500,Barbarian,25,8,675375
55519,Barbarian,77,8,95361
98222,Barbarian,28,8,344423
98511,Barbarian,53,8,73111
11228,Barbarian,20,7,395402
42467,Barbarian,14,7,412892
43162,Barbarian,82,7,64149
55507,Barbarian,79,7,552381
16819,Barbarian,20,7,285565
98273,Barbarian,70,6,64870
53211,Barbarian,82,6,655196
15052,Barbarian,64,6,362117
57736,Barbarian,31,6,187729
46501,Barbarian,48,5,11768
91762,Barbarian,84,5,340722
52553,Barbarian,52,5,73319
32731,Barbarian,29,4,266195
47301,Barbarian,28,4,270967
17386,Barbarian,64,4,495725
60592,Barbarian,36,4,779808
88355,Barbarian,45,4,468515
28668,Barbarian,45,4,28347
87599,Barbarian,70,3,432948
59930,Barbarian,75,3,492950
91452,Barbarian,39,3,741992
60996,Barbarian,39,2,780639
23244,Barbarian,82,1,388305
18041,Barbarian,35,1,320484
30955,Barbarian,84,1,500741
49002,Barbarian,30,1,54193
72672,Barbarian,30,1,178646
92591,Barbarian,89,1,625771
88022,Barbarian,36,1,579526
55520,Barbarian,89,1,717268
