Codigo,Tipo,Dinero,Nivel,Puntaje
18504,Druid,49,12,270235
25012,Druid,60,12,483449
23752,Druid,36,12,423191
55895,Druid,83,11,599539
60314,Druid,65,11,556535
59391,Druid,79,11,895353
22053,Druid,65,11,338715
52555,Druid,82,10,269073
54116,Druid,43,10,410324
53079,Druid,69,10,540616
92621,Druid,67,10,147110
17419,Druid,49,10,72592
30809,Druid,16,10,552525
51897,Druid,42,9,669947
95148,Druid,47,9,433792
41736,Druid,61,9,619508
31238,Druid,45,9,506278
39712,Druid,16,8,128544
24638,Druid,89,8,542094
50321,Druid,38,8,378853
12771,Druid,35,8,616045
13156,Druid,19,8,106247
76259,Druid,71,7,531694
22946,Druid,15,7,214595
50010,Druid,37,7,634839
97995,Druid,61,6,642489
98929,Druid,43,5,84498
33001,Druid,75,5,445928
64980,Druid,47,4,845850
42543,Druid,32,4,69162
48185,Druid,82,4,843223
64268,Druid,36,4,753521
18120,Druid,69,3,315191
88766,Druid,68,3,860402
64075,Druid,47,3,715861
77779,Druid,95,3,310888
89770,Druid,49,2,229842
88966,Druid,84,2,607204
23093,Druid,90,2,529540
84988,Druid,80,1,187910
43922,Druid,18,1,75473
17997,Druid,38,1,361563
46626,Druid,82,1,237798
46937,Druid,33,1,74352
68877,Druid,44,1,622537
88666,Druid,28,1,505842
