Codigo,Tipo,Dinero,Nivel,Puntaje
95144,Fighter,27,12,125418
25646,Fighter,57,12,109258
85667,Fighter,53,12,515957
22598,Fighter,40,12,825639
90404,Fighter,79,11,481614
56702,Fighter,64,11,132513
83524,Fighter,21,11,728350
75905,Fighter,34,11,672295
26292,Fighter,61,11,514375
88970,Fighter,55,11,470385
35982,Fighter,28,10,267353
69577,Fighter,60,10,275370
34998,Fighter,79,9,502468
72165,Fighter,36,9,307183
10334,Fighter,79,9,660126
26719,Fighter,82,8,844313
90695,Fighter,61,8,275205
76909,Fighter,30,7,357502
37259,Fighter,74,7,337495
88927,Fighter,92,7,760234
50753,Fighter,36,7,660313
31738,Fighter,52,7,412964
48880,Fighter,34,5,250889
63080,Fighter,66,5,321600
86198,Fighter,71,5,560256
95353,Fighter,35,5,884982
76251,Fighter,62,5,251057
29667,Fighter,12,4,46779
13012,Fighter,55,4,286080
36229,Fighter,15,4,675946
31975,Fighter,88,4,364973
71518,Fighter,67,3,431624
51778,Fighter,68,3,595410
55608,Fighter,26,3,195409
44899,Fighter,82,3,303593
92606,Fighter,83,3,378715
31277,Fighter,47,2,102758
10749,Fighter,74,2,220562
92029,Fighter,80,2,151549
74085,Fighter,74,2,866882
13476,Fighter,13,1,382692
49037,Fighter,94,1,444804
77605,Fighter,67,1,12796
