Codigo,Tipo,Dinero,Nivel,Puntaje
84763,Monk,24,12,378711
68830,Monk,11,10,883160
60815,Monk,41,10,215078
19716,Monk,25,9,159555
17402,Monk,81,9,731204
24560,Monk,30,8,598845
25809,Monk,42,8,431015
92136,Monk,91,8,273197
95536,Monk,80,7,264943
23546,Monk,71,7,483187
18606,Monk,82,7,694955
38242,Monk,41,7,742916
60666,Monk,91,7,465715
91858,Monk,71,6,411704
58215,Monk,22,6,212814
47306,Monk,85,6,754891
60313,Monk,54,6,539586
29133,Monk,43,5,892317
93644,Monk,83,5,314776
89289,Monk,53,5,292658
33961,Monk,38,5,876233
97116,Monk,56,4,434703
38555,Monk,79,3,496502
21647,Monk,87,3,451697
97266,Monk,22,3,409209
43242,Monk,65,2,370722
34652,Monk,68,2,189647
41301,Monk,52,2,524850
13452,Monk,92,1,340871
50255,Monk,95,1,465937
