Codigo,Tipo,Dinero,Nivel,Puntaje
11148,Paladin,70,12,811683
64472,Paladin,94,12,336448
71729,Paladin,78,12,493073
48591,Paladin,45,12,123693
36679,Paladin,16,11,703885
69232,Paladin,67,11,214073
48762,Paladin,86,11,221054
13856,Paladin,23,11,98247
28730,Paladin,67,10,522445
84386,Paladin,22,10,327453
12922,Paladin,30,10,446878
34842,Paladin,67,8,119259
92285,Paladin,36,8,405853
72485,Paladin,24,7,5126
25617,Paladin,62,6,217617
25227,Paladin,45,6,756502
97687,Paladin,87,6,330447
32273,Paladin,15,6,122562
76741,Paladin,87,5,515066
95266,Paladin,46,5,342570
56133,Paladin,76,4,898736
18872,Paladin,13,4,164111
86200,Paladin,70,3,574520
13778,Paladin,94,3,148811
61992,Paladin,60,3,169455
60941,Paladin,58,3,155185
68190,Paladin,56,3,380434
16677,Paladin,88,2,248899
15628,Paladin,90,1,720217
