Codigo,Tipo,Dinero,Nivel,Puntaje
12314,Ranger,55,12,685672
12020,Ranger,55,12,694848
37490,Ranger,32,10,552885
41744,Ranger,32,8,715101
37508,Ranger,50,8,772972
47187,Ranger,82,8,380409
34759,Ranger,25,8,41653
87341,Ranger,53,7,755940
95240,Ranger,43,7,473388
19127,Ranger,18,6,722938
78251,Ranger,96,6,669988
49299,Ranger,34,6,780936
32315,Ranger,58,5,264187
37292,Ranger,56,5,179060
79280,Ranger,92,4,583255
66208,Ranger,13,4,763929
54971,Ranger,16,4,250599
36038,Ranger,55,4,227877
81028,Ranger,20,2,714697
64781,Ranger,22,1,141435
68435,Ranger,49,1,892252
41698,Ranger,70,1,709755
