Codigo,Tipo,Dinero,Nivel,Puntaje
66366,Rogue,79,12,872255
35900,Rogue,96,12,286516
68121,Rogue,51,12,689033
55577,Rogue,26,12,155389
88956,Rogue,90,11,390189
13493,Rogue,15,11,181394
86399,Rogue,48,11,103358
69280,Rogue,16,10,163158
96681,Rogue,64,10,529658
53196,Rogue,21,9,856374
23992,Rogue,43,9,363137
45809,Rogue,15,9,529607
16205,Rogue,61,7,59026
60810,Rogue,73,7,578470
58543,Rogue,42,7,797006
87262,Rogue,84,7,445700
16937,Rogue,62,6,202414
98891,Rogue,45,6,592682
35153,Rogue,32,6,816015
18618,Rogue,24,6,688655
13028,Rogue,55,5,163248
81046,Rogue,96,5,90125
28292,Rogue,25,5,210742
64410,Rogue,20,5,177688
74934,Rogue,16,5,68693
87608,Rogue,72,4,791735
32122,Rogue,66,4,824743
86144,Rogue,35,4,411201
11049,Rogue,60,4,579799
44573,Rogue,69,2,549817
79289,Rogue,53,2,292151
54234,Rogue,71,2,636425
18176,Rogue,73,2,227722
28174,Rogue,11,2,301364
34188,Rogue,95,2,447324
10724,Rogue,83,1,106299
10201,Rogue,11,1,54440
