Codigo,Tipo,Dinero,Nivel,Puntaje
24027,Sorcerer,75,12,515714
65169,Sorcerer,28,12,311824
47679,Sorcerer,91,12,600164
26138,Sorcerer,64,12,832726
84130,Sorcerer,44,11,520201
41778,Sorcerer,55,11,855507
26043,Sorcerer,41,10,328820
79917,Sorcerer,45,10,826055
32363,Sorcerer,72,10,860577
20092,Sorcerer,66,10,708021
28519,Sorcerer,14,9,312215
65978,Sorcerer,37,9,683798
65621,Sorcerer,36,9,880886
61419,Sorcerer,51,8,651048
83611,Sorcerer,88,8,180377
31960,Sorcerer,79,8,873072
45856,Sorcerer,32,6,588664
34016,Sorcerer,48,6,507835
84900,Sorcerer,81,6,133407
40218,Sorcerer,46,6,147489
12907,Sorcerer,95,5,143308
49915,Sorcerer,46,5,752713
82869,Sorcerer,40,5,636776
48140,Sorcerer,16,4,425333
44728,Sorcerer,17,4,455645
52589,Sorcerer,58,4,462612
20697,Sorcerer,80,3,877297
13306,Sorcerer,94,3,230483
25806,Sorcerer,84,2,397951
20129,Sorcerer,15,2,486204
53624,Sorcerer,80,2,140036
10254,Sorcerer,53,2,256131
82809,Sorcerer,12,1,208027
