Codigo,Tipo,Dinero,Nivel,Puntaje
40018,Wizard,64,12,315535
63061,Wizard,31,12,646844
53471,Wizard,58,11,552741
89367,Wizard,57,11,163744
23517,Wizard,49,10,86818
36123,Wizard,71,10,426659
67672,Wizard,45,10,255343
81365,Wizard,29,9,27655
11731,Wizard,13,8,212658
85997,Wizard,37,8,812787
10428,Wizard,22,8,132935
55246,Wizard,19,7,600045
49529,Wizard,58,7,68837
44259,Wizard,47,7,271016
26986,Wizard,91,7,29616
43042,Wizard,23,7,163882
17493,Wizard,21,7,46188
26188,Wizard,46,6,442590
89090,Wizard,49,6,749889
87020,Wizard,80,6,600788
95282,Wizard,39,4,98138
44846,Wizard,93,4,237417
65027,Wizard,90,4,705423
24946,Wizard,52,3,306335
65341,Wizard,45,2,40637
63630,Wizard,47,1,534005
80964,Wizard,94,1,210469
94940,Wizard,46,1,416878
