Codigo,Tipo,Dinero,Nivel,Puntaje
20050,cleric,11,12,382156
90230,cleric,14,12,109725
16534,cleric,14,11,665711
26361,cleric,40,11,871578
48968,cleric,83,11,628711
41646,cleric,64,10,753218
16904,cleric,92,10,192349
77995,cleric,65,10,736390
95532,cleric,50,9,279985
51705,cleric,40,9,22087
98555,cleric,66,8,600169
70604,cleric,62,8,64889
16837,cleric,48,8,39921
37947,cleric,83,7,472400
52927,cleric,11,7,551815
53414,cleric,32,7,228528
84334,cleric,37,7,103135
92939,cleric,28,6,856548
93374,cleric,85,6,406983
68833,cleric,49,6,629777
88528,cleric,76,6,828809
67252,cleric,87,5,479642
98345,cleric,71,5,435193
70969,cleric,70,5,367197
66171,cleric,69,5,529102
92913,cleric,57,5,756470
86816,cleric,17,4,789749
17991,cleric,13,4,103769
69580,cleric,43,3,271450
49237,cleric,43,3,403205
38824,cleric,56,3,899494
90934,cleric,79,2,82015
72382,cleric,68,2,425654
11241,cleric,30,2,79725
33785,cleric,87,2,807866
